,sentence,with_sentence,without_sentence,difference
0,"By the side of a wood, in a country a long way off, ran a fine stream
of water; and upon the stream there stood a mill.",2.777825625946014,2.884488718781534,0.10666309283551989
1,"The miller’s house was
close by, and the miller, you must know, had a very beautiful daughter.",2.7656517307253647,2.8502388199377604,0.08458708921239566
2,"She was, moreover, very shrewd and clever; and the miller was so proud
of her, that he one day told the king of the land, who used to come and
hunt in the wood, that his daughter could spin gold out of straw.",2.676750307436343,2.77081298828125,0.09406268084490721
3,"Now
this king was very fond of money; and when he heard the miller’s boast
his greediness was raised, and he sent for the girl to be brought before
him.",2.722716852282802,2.7558060594202494,0.03308920713744756
4,"Then he led her to a chamber in his palace where there was a great
heap of straw, and gave her a spinning-wheel, and said, ‘All this must
be spun into gold before morning, as you love your life.’ It was in vain
that the poor maiden said that it was only a silly boast of her father,
for that she could do no such thing as spin straw into gold: the chamber
door was locked, and she was left alone.",2.381267619736185,2.536811269869341,0.15554365013315596
5,"She sat down in one corner of the room, and began to bewail her hard
fate; when on a sudden the door opened, and a droll-looking little man
hobbled in, and said, ‘Good morrow to you, my good lass; what are you
weeping for?’ ‘Alas!’ said she, ‘I must spin this straw into gold, and
I know not how.’ ‘What will you give me,’ said the hobgoblin, ‘to do it
for you?’ ‘My necklace,’ replied the maiden.",2.049596960843425,2.3674738674654487,0.3178769066220237
6,"He took her at her word,
and sat himself down to the wheel, and whistled and sang:

 ‘Round about, round about,
    Lo and behold!",2.7416167704521075,2.775981874191538,0.03436510373943058
7,"Reel away, reel away,
    Straw into gold!’

And round about the wheel went merrily; the work was quickly done, and
the straw was all spun into gold.",2.7877576274256555,2.801564341478149,0.01380671405249334
8,"When the king came and saw this, he was greatly astonished and pleased;
but his heart grew still more greedy of gain, and he shut up the poor
miller’s daughter again with a fresh task.",2.739840644185286,2.7671244120855616,0.027283767900275535
9,"Then she knew not what to do,
and sat down once more to weep; but the dwarf soon opened the door, and
said, ‘What will you give me to do your task?’ ‘The ring on my finger,’
said she.",2.6430292916805187,2.7635554666722077,0.12052617499168905
10,"So her little friend took the ring, and began to work at the
wheel again, and whistled and sang:

 ‘Round about, round about,
    Lo and behold!",2.8236666534030843,2.898628805271598,0.07496215186851352
11,"Reel away, reel away,
    Straw into gold!’

till, long before morning, all was done again.",2.879025280960207,2.9502442936264077,0.07121901266620068
