,sentence,with_sentence,without_sentence,difference
0,"There was once upon a time an old goat who had seven little kids, and
loved them with all the love of a mother for her children.",2.71518455544099,2.808580861357868,0.09339630591687831
1,"One day she
wanted to go into the forest and fetch some food.",2.804313620381694,2.8484211066233263,0.04410748624163219
2,"So she called all
seven to her and said: ‘Dear children, I have to go into the forest,
be on your guard against the wolf; if he comes in, he will devour you
all--skin, hair, and everything.",2.6243325766030843,2.7881792076738368,0.16384663107075248
3,"The wretch often disguises himself, but
you will know him at once by his rough voice and his black feet.’ The
kids said: ‘Dear mother, we will take good care of ourselves; you may go
away without any anxiety.’ Then the old one bleated, and went on her way
with an easy mind.",2.5336449993543386,2.840354802335449,0.30670980298111017
4,"It was not long before someone knocked at the house-door and called:
‘Open the door, dear children; your mother is here, and has brought
something back with her for each of you.’ But the little kids knew that
it was the wolf, by the rough voice.",2.5696918837928524,2.7872376040992886,0.21754572030643615
5,"‘We will not open the door,’ cried
they, ‘you are not our mother.",2.726864142166941,2.791676089638158,0.06481194747121721
6,"She has a soft, pleasant voice, but
your voice is rough; you are the wolf!’ Then the wolf went away to a
shopkeeper and bought himself a great lump of chalk, ate this and made
his voice soft with it.",2.4437235285726824,2.658560077795822,0.21483654922313944
7,"Then he came back, knocked at the door of the
house, and called: ‘Open the door, dear children, your mother is here
and has brought something back with her for each of you.’ But the wolf
had laid his black paws against the window, and the children saw them
and cried: ‘We will not open the door, our mother has not black feet
like you: you are the wolf!’ Then the wolf ran to a baker and said: ‘I
have hurt my feet, rub some dough over them for me.’ And when the baker
had rubbed his feet over, he ran to the miller and said: ‘Strew some
white meal over my feet for me.’ The miller thought to himself: ‘The
wolf wants to deceive someone,’ and refused; but the wolf said: ‘If you
will not do it, I will devour you.’ Then the miller was afraid, and made
his paws white for him.",1.6047623268730984,2.5988039090231996,0.9940415821501012
8,"Truly, this is the way of mankind.",2.773130118128765,2.8089553036364205,0.035825185507655455
9,"So now the wretch went for the third time to the house-door, knocked at
it and said: ‘Open the door for me, children, your dear little mother
has come home, and has brought every one of you something back from the
forest with her.’ The little kids cried: ‘First show us your paws that
we may know if you are our dear little mother.’ Then he put his paws
in through the window and when the kids saw that they were white, they
believed that all he said was true, and opened the door.",2.1811585158444524,2.752929138869382,0.5717706230249298
