,sentence,with_sentence,without_sentence,difference
0,"There was once upon a time an old goat who had seven little kids, and
loved them with all the love of a mother for her children.",2.6373232768876904,2.6258055401332485,-0.011517736754441898
1,"One day she
wanted to go into the forest and fetch some food.",2.7701820821398684,2.793208239130085,0.023026156990216595
2,"So she called all
seven to her and said: ‘Dear children, I have to go into the forest,
be on your guard against the wolf; if he comes in, he will devour you
all--skin, hair, and everything.",2.516861908707612,2.6895529126364086,0.17269100392879677
3,"The wretch often disguises himself, but
you will know him at once by his rough voice and his black feet.’ The
kids said: ‘Dear mother, we will take good care of ourselves; you may go
away without any anxiety.’ Then the old one bleated, and went on her way
with an easy mind.",2.3815266542761218,2.5083648429429237,0.12683818866680197
4,"It was not long before someone knocked at the house-door and called:
‘Open the door, dear children; your mother is here, and has brought
something back with her for each of you.’ But the little kids knew that
it was the wolf, by the rough voice.",2.498332642706986,2.59147140680587,0.09313876409888433
5,"‘We will not open the door,’ cried
they, ‘you are not our mother.",2.7290777641430233,2.7477007681863346,0.018623004043311298
6,"She has a soft, pleasant voice, but
your voice is rough; you are the wolf!’ Then the wolf went away to a
shopkeeper and bought himself a great lump of chalk, ate this and made
his voice soft with it.",2.546024891958956,2.6058801494861683,0.05985525752721221
7,"Then he came back, knocked at the door of the
house, and called: ‘Open the door, dear children, your mother is here
and has brought something back with her for each of you.’ But the wolf
had laid his black paws against the window, and the children saw them
and cried: ‘We will not open the door, our mother has not black feet
like you: you are the wolf!’ Then the wolf ran to a baker and said: ‘I
have hurt my feet, rub some dough over them for me.’ And when the baker
had rubbed his feet over, he ran to the miller and said: ‘Strew some
white meal over my feet for me.’ The miller thought to himself: ‘The
wolf wants to deceive someone,’ and refused; but the wolf said: ‘If you
will not do it, I will devour you.’ Then the miller was afraid, and made
his paws white for him.",1.144134320303586,1.7030949776361246,0.5589606573325385
8,"Truly, this is the way of mankind.",3.010521959801009,3.017901712100137,0.007379752299127684
9,"So now the wretch went for the third time to the house-door, knocked at
it and said: ‘Open the door for me, children, your dear little mother
has come home, and has brought every one of you something back from the
forest with her.’ The little kids cried: ‘First show us your paws that
we may know if you are our dear little mother.’ Then he put his paws
in through the window and when the kids saw that they were white, they
believed that all he said was true, and opened the door.",2.1526457574394313,2.43445008010007,0.2818043226606388
10,"But who should
come in but the wolf!",3.109301127433264,3.1293197612683787,0.02001863383511493
11,They were terrified and wanted to hide themselves.,3.1818353906764654,3.195436419862689,0.013601029186223634
12,"One sprang under the table, the second into the bed, the third into the
stove, the fourth into the kitchen, the fifth into the cupboard, the
sixth under the washing-bowl, and the seventh into the clock-case.",2.8988119247164894,3.02590155395129,0.1270896292348005
13,"But
the wolf found them all, and used no great ceremony; one after the
other he swallowed them down his throat.",3.069639603828738,3.1372549963233287,0.06761539249459059
14,"The youngest, who was in
the clock-case, was the only one he did not find.",3.134046294723732,3.1893101451971186,0.055263850473386444
15,"When the wolf had
satisfied his appetite he took himself off, laid himself down under a
tree in the green meadow outside, and began to sleep.",3.0818527912406766,3.1672902048369984,0.08543741359632184
16,"Soon afterwards
the old goat came home again from the forest.",3.212600645727041,3.242554385035264,0.029953739308222982
17,Ah!,3.293652847300191,3.292819052108457,-0.0008337951917343212
18,"what a sight she saw
there!",3.27650848057134,3.2808673859849633,0.004358905413623493
19,The house-door stood wide open.,3.282477639503246,3.2930063904181517,0.010528750914905682
20,"The table, chairs, and benches
were thrown down, the washing-bowl lay broken to pieces, and the quilts
and pillows were pulled off the bed.",3.1486032330448035,3.2180494706940754,0.06944623764927194
21,"She sought her children, but they
were nowhere to be found.",3.259329602979332,3.283185731679035,0.023856128699703216
22,"She called them one after another by name, but
no one answered.",3.2549433297304207,3.2797739968171804,0.02483066708675974
23,"At last, when she came to the youngest, a soft voice
cried: ‘Dear mother, I am in the clock-case.’ She took the kid out, and
it told her that the wolf had come and had eaten all the others.",3.143497841651674,3.2318596740975916,0.08836183244591744
24,"Then
you may imagine how she wept over her poor children.",3.31157916015625,3.3243661328124996,0.012786972656249507
25,"At length in her grief she went out, and the youngest kid ran with her.",3.3022490806174027,3.3238421375114817,0.021593056894078977
26,"When they came to the meadow, there lay the wolf by the tree and snored
so loud that the branches shook.",3.3024492261534593,3.3384349720272644,0.0359857458738051
27,"She looked at him on every side and
saw that something was moving and struggling in his gorged belly.",3.3027137576745664,3.3273950089027484,0.02468125122818199
28,"‘Ah,
heavens,’ she said, ‘is it possible that my poor children whom he has
swallowed down for his supper, can be still alive?’ Then the kid had to
run home and fetch scissors, and a needle and thread, and the goat cut
open the monster’s stomach, and hardly had she made one cut, than one
little kid thrust its head out, and when she had cut farther, all six
sprang out one after another, and were all still alive, and had suffered
no injury whatever, for in his greediness the monster had swallowed them
down whole.",2.6997524454194783,2.9966936733674867,0.29694122794800837
29,What rejoicing there was!,3.1836115557913964,3.1875569011159866,0.0039453453245901215
