,sentence,with_sentence,without_sentence,difference
0,"One fine evening a young princess put on her bonnet and clogs, and went
out to take a walk by herself in a wood; and when she came to a cool
spring of water, that rose in the midst of it, she sat herself down
to rest a while.",2.4953306828582638,2.6786169586820083,0.18328627582374457
1,"Now she had a golden ball in her hand, which was her
favourite plaything; and she was always tossing it up into the air, and
catching it again as it fell.",2.6727934209619626,2.7613840323956036,0.088590611433641
2,"After a time she threw it up so high that
she missed catching it as it fell; and the ball bounded away, and rolled
along upon the ground, till at last it fell down into the spring.",2.6638291537509606,2.7219059000744905,0.05807674632352988
3,"The
princess looked into the spring after her ball, but it was very deep, so
deep that she could not see the bottom of it.",2.727812609626252,2.7685691314993552,0.04075652187310341
4,"Then she began to bewail
her loss, and said, ‘Alas!",2.698919133565512,2.73140625,0.032487116434487984
5,"if I could only get my ball again, I would
give all my fine clothes and jewels, and everything that I have in the
world.’

Whilst she was speaking, a frog put its head out of the water, and said,
‘Princess, why do you weep so bitterly?’ ‘Alas!’ said she, ‘what can you
do for me, you nasty frog?",2.573058545892568,2.685810852756227,0.11275230686365889
6,"My golden ball has fallen into the spring.’
The frog said, ‘I want not your pearls, and jewels, and fine clothes;
but if you will love me, and let me live with you and eat from off
your golden plate, and sleep upon your bed, I will bring you your ball
again.’ ‘What nonsense,’ thought the princess, ‘this silly frog is
talking!",2.427629965098371,2.543706689020625,0.11607672392225377
7,"He can never even get out of the spring to visit me, though
he may be able to get my ball for me, and therefore I will tell him he
shall have what he asks.’ So she said to the frog, ‘Well, if you will
bring me my ball, I will do all you ask.’ Then the frog put his head
down, and dived deep under the water; and after a little while he came
up again, with the ball in his mouth, and threw it on the edge of the
spring.",2.2462234641840606,2.430570598797735,0.18434713461367425
8,"As soon as the young princess saw her ball, she ran to pick
it up; and she was so overjoyed to have it in her hand again, that she
never thought of the frog, but ran home with it as fast as she could.",2.4854812478390564,2.543659246125015,0.05817799828595849
9,"The frog called after her, ‘Stay, princess, and take me with you as you
said,’ But she did not stop to hear a word.",2.4372774898257714,2.5356236924686195,0.0983462026428481
10,"The next day, just as the princess had sat down to dinner, she heard a
strange noise--tap, tap--plash, plash--as if something was coming up the
marble staircase: and soon afterwards there was a gentle knock at the
door, and a little voice cried out and said:

 ‘Open the door, my princess dear,
  Open the door to thy true love here!",2.1052073010843766,2.3021306968145345,0.19692339573015794
11,"And mind the words that thou and I said
  By the fountain cool, in the greenwood shade.’

Then the princess ran to the door and opened it, and there she saw
the frog, whom she had quite forgotten.",2.307521397960964,2.4224173319708444,0.1148959340098803
12,"At this sight she was sadly
frightened, and shutting the door as fast as she could came back to her
seat.",2.4557742741208513,2.5116189242000906,0.05584465007923933
13,"The king, her father, seeing that something had frightened her,
asked her what was the matter.",2.5085289218570352,2.549988740338235,0.04145981848119984
14,"‘There is a nasty frog,’ said she, ‘at
the door, that lifted my ball for me out of the spring this morning: I
told him that he should live with me here, thinking that he could never
get out of the spring; but there he is at the door, and he wants to come
in.’

While she was speaking the frog knocked again at the door, and said:

 ‘Open the door, my princess dear,
  Open the door to thy true love here!",2.0920799488633715,2.381219787370083,0.28913983850671165
15,"And mind the words that thou and I said
  By the fountain cool, in the greenwood shade.’

Then the king said to the young princess, ‘As you have given your word
you must keep it; so go and let him in.’ She did so, and the frog hopped
into the room, and then straight on--tap, tap--plash, plash--from the
bottom of the room to the top, till he came up close to the table where
the princess sat.",2.146530890859329,2.441986435694052,0.29545554483472314
16,"‘Pray lift me upon chair,’ said he to the princess,
‘and let me sit next to you.’ As soon as she had done this, the frog
said, ‘Put your plate nearer to me, that I may eat out of it.’ This
she did, and when he had eaten as much as he could, he said, ‘Now I am
tired; carry me upstairs, and put me into your bed.’ And the princess,
though very unwilling, took him up in her hand, and put him upon the
pillow of her own bed, where he slept all night long.",1.951457155713848,2.306400428921569,0.3549432732077209
17,"As soon as it was
light he jumped up, hopped downstairs, and went out of the house.",2.654445589890126,2.703494884041199,0.04904929415107295
18,"‘Now, then,’ thought the princess, ‘at last he is gone, and I shall be
troubled with him no more.’

But she was mistaken; for when night came again she heard the same
tapping at the door; and the frog came once more, and said:

 ‘Open the door, my princess dear,
  Open the door to thy true love here!",2.1559121808031394,2.438807261828457,0.28289508102531746
19,"And mind the words that thou and I said
  By the fountain cool, in the greenwood shade.’

And when the princess opened the door the frog came in, and slept upon
her pillow as before, till the morning broke.",2.5277097264124038,2.645770163998709,0.11806043758630524
20,"And the third night he did
the same.",2.893869186659991,2.8972108097399696,0.0033416230799785396
21,"But when the princess awoke on the following morning she was
astonished to see, instead of the frog, a handsome prince, gazing on her
with the most beautiful eyes she had ever seen, and standing at the head
of her bed.",2.7222227464642446,2.776127356813665,0.05390461034942051
22,"He told her that he had been enchanted by a spiteful fairy, who had
changed him into a frog; and that he had been fated so to abide till
some princess should take him out of the spring, and let him eat from
her plate, and sleep upon her bed for three nights.",2.434641607536757,2.7072562146777948,0.2726146071410378
23,"‘You,’ said the
prince, ‘have broken his cruel charm, and now I have nothing to wish for
but that you should go with me into my father’s kingdom, where I will
marry you, and love you as long as you live.’

The young princess, you may be sure, was not long in saying ‘Yes’ to
all this; and as they spoke a gay coach drove up, with eight beautiful
horses, decked with plumes of feathers and a golden harness; and behind
the coach rode the prince’s servant, faithful Heinrich, who had bewailed
the misfortunes of his dear master during his enchantment so long and so
bitterly, that his heart had well-nigh burst.",1.6107571623791224,2.7328710271024153,1.1221138647232929
24,"They then took leave of the king, and got into the coach with eight
horses, and all set out, full of joy and merriment, for the prince’s
kingdom, which they reached safely; and there they lived happily a great
many years.",0.027954621333628894,0.20310820477704208,0.1751535834434132
