,sentence,with_sentence,without_sentence,difference,label
0,"An honest farmer had once an ass that had been a faithful servant to him
a great many years, but was now growing old and every day more and more
unfit for work.",4.056819074178479,4.210471870972938,0.15365279679445898,1
1,"His master therefore was tired of keeping him and
began to think of putting an end to him; but the ass, who saw that some
mischief was in the wind, took himself slyly off, and began his journey
towards the great city, ‘For there,’ thought he, ‘I may turn musician.’

After he had travelled a little way, he spied a dog lying by the
roadside and panting as if he were tired.",3.80430653948504,4.300476706343498,0.49617016685845794,1
2,"‘What makes you pant so, my
friend?’ said the ass.",4.065113500597372,4.159364032631422,0.09425053203405032,1
3,"‘Alas!’ said the dog, ‘my master was going to
knock me on the head, because I am old and weak, and can no longer make
myself useful to him in hunting; so I ran away; but what can I do to
earn my livelihood?’ ‘Hark ye!’ said the ass, ‘I am going to the great
city to turn musician: suppose you go with me, and try what you can
do in the same way?’ The dog said he was willing, and they jogged on
together.",3.5007300249824684,4.026213786377981,0.5254837613955123,1
4,"They had not gone far before they saw a cat sitting in the middle of the
road and making a most rueful face.",4.00995380930657,4.12379319685219,0.11383938754562006,1
5,"‘Pray, my good lady,’ said the ass,
‘what’s the matter with you?",4.042225551750381,4.114413140934171,0.0721875891837902,1
6,"You look quite out of spirits!’ ‘Ah, me!’
said the cat, ‘how can one be in good spirits when one’s life is in
danger?",3.928458419500613,4.116321837979983,0.18786341847937038,1
7,"Because I am beginning to grow old, and had rather lie at my
ease by the fire than run about the house after the mice, my mistress
laid hold of me, and was going to drown me; and though I have been lucky
enough to get away from her, I do not know what I am to live upon.’
‘Oh,’ said the ass, ‘by all means go with us to the great city; you are
a good night singer, and may make your fortune as a musician.’ The cat
was pleased with the thought, and joined the party.",3.243956756591797,4.1000422159830725,0.8560854593912754,1
8,"Soon afterwards, as they were passing by a farmyard, they saw a cock
perched upon a gate, and screaming out with all his might and main.",3.910399627685547,4.145921834309896,0.2355222066243492,1
9,"‘Bravo!’ said the ass; ‘upon my word, you make a famous noise; pray what
is all this about?’ ‘Why,’ said the cock, ‘I was just now saying that
we should have fine weather for our washing-day, and yet my mistress and
the cook don’t thank me for my pains, but threaten to cut off my
head tomorrow, and make broth of me for the guests that are coming
on Sunday!’ ‘Heaven forbid!’ said the ass, ‘come with us Master
Chanticleer; it will be better, at any rate, than staying here to have
your head cut off!",2.9450248258659637,4.162698842243976,1.217674016378012,1
10,"Besides, who knows?",4.075726535480484,4.087954313858695,0.012227778378210985,1
11,"If we care to sing in tune, we
may get up some kind of a concert; so come along with us.’ ‘With all my
heart,’ said the cock: so they all four went on jollily together.",3.694051714085821,4.093651614972015,0.3995999008861939,1
12,"They could not, however, reach the great city the first day; so when
night came on, they went into a wood to sleep.",3.9816447513204225,4.144608864122233,0.16296411280181067,1
13,"The ass and the dog laid
themselves down under a great tree, and the cat climbed up into the
branches; while the cock, thinking that the higher he sat the safer he
should be, flew up to the very top of the tree, and then, according to
his custom, before he went to sleep, looked out on all sides of him to
see that everything was well.",3.542713630888651,4.140330933401365,0.5976173025127136,1
14,"In doing this, he saw afar off something
bright and shining and calling to his companions said, ‘There must be a
house no great way off, for I see a light.’ ‘If that be the case,’ said
the ass, ‘we had better change our quarters, for our lodging is not the
best in the world!’ ‘Besides,’ added the dog, ‘I should not be the
worse for a bone or two, or a bit of meat.’ So they walked off together
towards the spot where Chanticleer had seen the light, and as they drew
near it became larger and brighter, till they at last came close to a
house in which a gang of robbers lived.",2.80062468807586,4.015929425963606,1.2153047378877457,1
15,"The ass, being the tallest of the company, marched up to the window and
peeped in.",4.169823327364351,4.262268437816937,0.0924451104525863,1
16,"‘Well, Donkey,’ said Chanticleer, ‘what do you see?’ ‘What
do I see?’ replied the ass.",4.1337127036236705,4.260884776013963,0.1271720723902927,1
17,"‘Why, I see a table spread with all kinds of
good things, and robbers sitting round it making merry.’ ‘That would
be a noble lodging for us,’ said the cock.",4.146752073053728,4.437634116724918,0.2908820436711901,1
18,"‘Yes,’ said the ass, ‘if we
could only get in’; so they consulted together how they should contrive
to get the robbers out; and at last they hit upon a plan.",4.0917283714069095,4.3812940895305905,0.28956571812368104,1
19,"The ass placed
himself upright on his hind legs, with his forefeet resting against the
window; the dog got upon his back; the cat scrambled up to the dog’s
shoulders, and the cock flew up and sat upon the cat’s head.",4.110041311300639,4.50741895988806,0.39737764858742075,1
20,"When
all was ready a signal was given, and they began their music.",4.424767953378183,4.519548769350405,0.09478081597222232,1
21,"The ass
brayed, the dog barked, the cat mewed, and the cock screamed; and then
they all broke through the window at once, and came tumbling into
the room, amongst the broken glass, with a most hideous clatter!",4.07945659591491,4.4996826171875,0.42022602127259034,1
22,"The
robbers, who had been not a little frightened by the opening concert,
had now no doubt that some frightful hobgoblin had broken in upon them,
and scampered away as fast as they could.",4.119970156031163,4.557851412049195,0.4378812560180325,1
23,"The coast once clear, our travellers soon sat down and dispatched what
the robbers had left, with as much eagerness as if they had not expected
to eat again for a month.",4.056049693714488,4.5423972389914775,0.4863475452769892,1
24,"As soon as they had satisfied themselves, they
put out the lights, and each once more sought out a resting-place to
his own liking.",4.010643346985774,4.4189275485366135,0.4082842015508392,1
25,"The donkey laid himself down upon a heap of straw in
the yard, the dog stretched himself upon a mat behind the door, the
cat rolled herself up on the hearth before the warm ashes, and the
cock perched upon a beam on the top of the house; and, as they were all
rather tired with their journey, they soon fell asleep.",3.207378658638181,4.379950500777547,1.1725718421393663,1
26,"But about midnight, when the robbers saw from afar that the lights were
out and that all seemed quiet, they began to think that they had been in
too great a hurry to run away; and one of them, who was bolder than
the rest, went to see what was going on.",3.208906817588077,4.323315274183917,1.1144084565958403,1
27,"Finding everything still, he
marched into the kitchen, and groped about till he found a match in
order to light a candle; and then, espying the glittering fiery eyes of
the cat, he mistook them for live coals, and held the match to them to
light it.",1.332689509672277,4.900386137120864,3.567696627448587,1
28,"But the cat, not understanding this joke, sprang at his face,
and spat, and scratched at him.",1.445391019185384,4.629654248555501,3.184263229370117,1
29,"This frightened him dreadfully, and away
he ran to the back door; but there the dog jumped up and bit him in the
leg; and as he was crossing over the yard the ass kicked him; and the
cock, who had been awakened by the noise, crowed with all his might.",1.091452627470999,4.060213955965909,2.96876132849491,1
