,sentence,with_sentence,without_sentence,difference,label
0,There was once a man who had a daughter who was called Clever Elsie.,2.158841609954834,1.700440764427185,-0.4584008455276489,1
1,"And
when she had grown up her father said: ‘We will get her married.’ ‘Yes,’
said the mother, ‘if only someone would come who would have her.’ At
length a man came from a distance and wooed her, who was called Hans;
but he stipulated that Clever Elsie should be really smart.",1.700440764427185,0.09574056416749954,-1.6047002002596855,1
2,"‘Oh,’ said
the father, ‘she has plenty of good sense’; and the mother said: ‘Oh,
she can see the wind coming up the street, and hear the flies coughing.’
‘Well,’ said Hans, ‘if she is not really smart, I won’t have her.’ When
they were sitting at dinner and had eaten, the mother said: ‘Elsie, go
into the cellar and fetch some beer.’ Then Clever Elsie took the pitcher
from the wall, went into the cellar, and tapped the lid briskly as she
went, so that the time might not appear long.",0.1108463779091835,0.9839339256286621,0.8730875477194786,1
3,"When she was below she
fetched herself a chair, and set it before the barrel so that she had
no need to stoop, and did not hurt her back or do herself any unexpected
injury.",0.30766597390174866,0.42830806970596313,0.12064209580421448,1
4,"Then she placed the can before her, and turned the tap, and
while the beer was running she would not let her eyes be idle, but
looked up at the wall, and after much peering here and there, saw a
pick-axe exactly above her, which the masons had accidentally left
there.",0.34871166944503784,0.5883198976516724,0.23960822820663452,1
5,"Then Clever Elsie began to weep and said: ‘If I get Hans, and we have
a child, and he grows big, and we send him into the cellar here to draw
beer, then the pick-axe will fall on his head and kill him.’ Then she
sat and wept and screamed with all the strength of her body, over the
misfortune which lay before her.",0.6109660863876343,0.13203495740890503,-0.47893112897872925,1
6,"Those upstairs waited for the drink,
but Clever Elsie still did not come.",0.13208416104316711,0.3257916271686554,0.19370746612548828,1
7,"Then the woman said to the servant:
‘Just go down into the cellar and see where Elsie is.’ The maid went and
found her sitting in front of the barrel, screaming loudly.",0.28324222564697266,0.26841819286346436,-0.0148240327835083,1
8,"‘Elsie why
do you weep?’ asked the maid.",0.4336017072200775,0.2715936005115509,-0.1620081067085266,1
9,"‘Ah,’ she answered, ‘have I not reason to
weep?",0.2203235626220703,2.019503355026245,1.7991797924041748,1
10,"If I get Hans, and we have a child, and he grows big, and has to
draw beer here, the pick-axe will perhaps fall on his head, and kill
him.’ Then said the maid: ‘What a clever Elsie we have!’ and sat down
beside her and began loudly to weep over the misfortune.",0.7566601037979126,0.8489490747451782,0.09228897094726562,1
